Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,r,,,11.187
2011,r,,,12.003
2012,r,,,13.198
2013,r,,,13.311
2014,r,,,13.792
2015,r,,,14.449
2016,r,,,14.315
2017,r,,,15.272
2018,r,,,16.072
2019,r,,,16.863
2020,r,,,18.706
2021,r,,,18.03
2022,r,,,19.583
2023,r,,,20.878
2024,,,,21.395
