Year,Units,Art der Biomasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,252.2
2011,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,254.4
2012,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,256.6
2013,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,258.8
2014,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,492.6
2015,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,494.7
2016,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,497.2
2017,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,499.4
2018,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,500.6
2019,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,501.6
2020,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,501.7
2021,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,501.4
2022,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,501.7
2010,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,243.8
2011,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,246.0
2012,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,248.0
2013,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,250.0
2014,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,253.9
2015,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,255.1
2016,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,256.5
2017,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,257.8
2018,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,258.6
2019,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,259.3
2020,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,259.5
2021,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,259.6
2022,Millionen Tonnen Kohlenstoff,Sonstige Biomasse in Wäldern,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,260.0
