Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,r,,,50.5
2011,r,,,50.1
2012,r,,,51.2
2013,r,,,51.5
2014,r,,,51.4
2015,r,,,51.8
2016,r,,,52.0
2017,r,,,52.1
2018,r,,,53.1
2019,r,,,53.8
2020,,,,55.1
2021,p,,,53.5
2022,p,,,52.8
2023,p,,,53.3
