Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,81.4
2011,,,,83.6
2012,,,,86.5
2013,,,,89.8
2014,,,,90.7
2015,,,,91.3
2016,,,,92.1
2017,,,,94.6
2018,,,,96.8
2019,,,,97.9
2020,,,,100.0
2021,,,,103.1
2022,,,,116.0
2023,,,,130.3
2024,,,,132.8
