Year,Units,Value
2010,gross value added of small-scale industries in manufacturing (%),8.9
2011,gross value added of small-scale industries in manufacturing (%),9.0
2012,gross value added of small-scale industries in manufacturing (%),8.2
2013,gross value added of small-scale industries in manufacturing (%),8.3
2014,gross value added of small-scale industries in manufacturing (%),7.8
2015,gross value added of small-scale industries in manufacturing (%),7.3
2016,gross value added of small-scale industries in manufacturing (%),7.0
2017,gross value added of small-scale industries in manufacturing (%),6.8
2018,gross value added of small-scale industries in manufacturing (%),
