Year,Units,Value
2010,stunting among children under the age of 5 years (%),
2011,stunting among children under the age of 5 years (%),
2012,stunting among children under the age of 5 years (%),
2013,stunting among children under the age of 5 years (%),
2014,stunting among children under the age of 5 years (%),
2015,stunting among children under the age of 5 years (%),
2016,stunting among children under the age of 5 years (%),1.7
2017,stunting among children under the age of 5 years (%),
2018,stunting among children under the age of 5 years (%),
