Year,Units,Value
2010,a) passenger transport (mn pkm),1117240.0
2011,a) passenger transport (mn pkm),1131004.0
2012,a) passenger transport (mn pkm),1135558.0
2013,a) passenger transport (mn pkm),1144212.0
2014,a) passenger transport (mn pkm),1162858.0
2015,a) passenger transport (mn pkm),1180505.0
2016,a) passenger transport (mn pkm),1204690.0
2017,a) passenger transport (mn pkm),
2018,a) passenger transport (mn pkm),
2010,b) freight transport (mn tkm),627857.0
2011,b) freight transport (mn tkm),627966.0
2012,b) freight transport (mn tkm),618911.0
2013,b) freight transport (mn tkm),636011.0
2014,b) freight transport (mn tkm),643567.0
2015,b) freight transport (mn tkm),651928.0
2016,b) freight transport (mn tkm),666923.0
2017,b) freight transport (mn tkm),
2018,b) freight transport (mn tkm),
