Year,Units,Value
2010,Overweight among children under the age of 5 years,
2011,Overweight among children under the age of 5 years,
2012,Overweight among children under the age of 5 years,
2013,Overweight among children under the age of 5 years,
2014,Overweight among children under the age of 5 years,
2015,Overweight among children under the age of 5 years,
2016,Overweight among children under the age of 5 years,3.2
2017,Overweight among children under the age of 5 years,
2018,Overweight among children under the age of 5 years,
2010,Wasting among children under the age of 5 years,
2011,Wasting among children under the age of 5 years,
2012,Wasting among children under the age of 5 years,
2013,Wasting among children under the age of 5 years,
2014,Wasting among children under the age of 5 years,
2015,Wasting among children under the age of 5 years,
2016,Wasting among children under the age of 5 years,0.3
2017,Wasting among children under the age of 5 years,
2018,Wasting among children under the age of 5 years,
