Year,Units,Value
2010,national sustainable development strategie (number),1
2011,national sustainable development strategie (number),1
2012,national sustainable development strategie (number),1
2013,national sustainable development strategie (number),1
2014,national sustainable development strategie (number),1
2015,national sustainable development strategie (number),1
2016,national sustainable development strategie (number),1
2017,national sustainable development strategie (number),1
2018,national sustainable development strategie (number),1
