Year,Units,Value
2010,Women in managerial positions (%),
2011,Women in managerial positions (%),
2012,Women in managerial positions (%),
2013,Women in managerial positions (%),
2014,Women in managerial positions (%),21.0
2015,Women in managerial positions (%),
2016,Women in managerial positions (%),
2017,Women in managerial positions (%),
2018,Women in managerial positions (%),
