Year,Units,Value
2010,documents issued for the import and export of protected species (number),22601
2011,documents issued for the import and export of protected species (number),20687
2012,documents issued for the import and export of protected species (number),21045
2013,documents issued for the import and export of protected species (number),21364
2014,documents issued for the import and export of protected species (number),23170
2015,documents issued for the import and export of protected species (number),23093
2016,documents issued for the import and export of protected species (number),24248
2017,documents issued for the import and export of protected species (number),29644
2018,documents issued for the import and export of protected species (number),31830
2010,seizures by authorities concerning the protection of species (number),1365
2011,seizures by authorities concerning the protection of species (number),1208
2012,seizures by authorities concerning the protection of species (number),1112
2013,seizures by authorities concerning the protection of species (number),1105
2014,seizures by authorities concerning the protection of species (number),852
2015,seizures by authorities concerning the protection of species (number),1301
2016,seizures by authorities concerning the protection of species (number),915
2017,seizures by authorities concerning the protection of species (number),934
2018,seizures by authorities concerning the protection of species (number),1294
