Year,Units,Value
2010,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",4218.3
2011,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",3409.1
2012,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",3369.6
2013,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",4459.6
2014,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",6709.1
2015,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",5788.5
2016,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",6042.9
2017,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",5503.4
2018,"Aid for trade commitments (ODA and OOF) (Mn USD, constant prices (2016))",
2010,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",3088.3
2011,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",2835.5
2012,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",2553.2
2013,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",3197.4
2014,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",4006.6
2015,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",5161.9
2016,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",4621.2
2017,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",4369.0
2018,"Aid for trade gross disbursements (ODA and OOF) (Mn USD, constant prices (2016))",
