Year,Units,Value
2010,sub-indicator 1: spatial extent of water-related ecosystems (%),
2011,sub-indicator 1: spatial extent of water-related ecosystems (%),
2012,sub-indicator 1: spatial extent of water-related ecosystems (%),
2013,sub-indicator 1: spatial extent of water-related ecosystems (%),
2014,sub-indicator 1: spatial extent of water-related ecosystems (%),
2015,sub-indicator 1: spatial extent of water-related ecosystems (%),
2016,sub-indicator 1: spatial extent of water-related ecosystems (%),
2017,sub-indicator 1: spatial extent of water-related ecosystems (%),-0.1
2018,sub-indicator 1: spatial extent of water-related ecosystems (%),
2010,sub-indicator 3:  quantity discharge of water in rivers (%),3.4
2011,sub-indicator 3:  quantity discharge of water in rivers (%),-1.1
2012,sub-indicator 3:  quantity discharge of water in rivers (%),-1.8
2013,sub-indicator 3:  quantity discharge of water in rivers (%),3.0
2014,sub-indicator 3:  quantity discharge of water in rivers (%),-1.6
2015,sub-indicator 3:  quantity discharge of water in rivers (%),-4.7
2016,sub-indicator 3:  quantity discharge of water in rivers (%),0.7
2017,sub-indicator 3:  quantity discharge of water in rivers (%),-2.6
2018,sub-indicator 3:  quantity discharge of water in rivers (%),
2010,sub-indicator 4: water bodies with good quality (%),
2011,sub-indicator 4: water bodies with good quality (%),
2012,sub-indicator 4: water bodies with good quality (%),
2013,sub-indicator 4: water bodies with good quality (%),
2014,sub-indicator 4: water bodies with good quality (%),38.99
2015,sub-indicator 4: water bodies with good quality (%),
2016,sub-indicator 4: water bodies with good quality (%),
2017,sub-indicator 4: water bodies with good quality (%),
2018,sub-indicator 4: water bodies with good quality (%),
