Year,Units,Value
2010,Population weighted annual mean levels of PM10 (micrograms per cubic meter),19.6
2011,Population weighted annual mean levels of PM10 (micrograms per cubic meter),19.5
2012,Population weighted annual mean levels of PM10 (micrograms per cubic meter),17.0
2013,Population weighted annual mean levels of PM10 (micrograms per cubic meter),17.6
2014,Population weighted annual mean levels of PM10 (micrograms per cubic meter),17.1
2015,Population weighted annual mean levels of PM10 (micrograms per cubic meter),15.9
2016,Population weighted annual mean levels of PM10 (micrograms per cubic meter),15.4
2017,Population weighted annual mean levels of PM10 (micrograms per cubic meter),15.3
2018,Population weighted annual mean levels of PM10 (micrograms per cubic meter),
