Year,Units,Value
2010,Public access to information (Number),1
2011,Public access to information (Number),1
2012,Public access to information (Number),1
2013,Public access to information (Number),1
2014,Public access to information (Number),1
2015,Public access to information (Number),1
2016,Public access to information (Number),1
2017,Public access to information (Number),1
2018,Public access to information (Number),1
