Year,Units,Value
2010,export refunds (eur),29872803
2011,export refunds (eur),18944934
2012,export refunds (eur),5781374
2013,export refunds (eur),1396385
2014,export refunds (eur),533798
2015,export refunds (eur),50637
2016,export refunds (eur),30454
2017,export refunds (eur),26662
2018,export refunds (eur),44145
