Year,Units,Value
2010,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),
2011,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),
2012,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),
2013,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),
2014,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),
2015,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),75.0
2016,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),73.0
2017,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),74.0
2018,Persons (10 years and older) with computer-related activities in the last 12 months: copying or moving of files and folders (%),
2010,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",
2011,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",
2012,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",
2013,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",
2014,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",
2015,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",44.0
2016,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",43.0
2017,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",44.0
2018,"Persons (10 years and older) with computer-related activities in the last 12 months: creating electronic presentations or documents with text, images, tables or charts (%)",
2010,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),
2011,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),
2012,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),
2013,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),
2014,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),
2015,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),68.0
2016,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),69.0
2017,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),68.0
2018,Persons (10 years and older) with computer-related activities in the last 12 months: installing software or apps (%),
2010,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),
2011,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),
2012,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),
2013,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),
2014,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),
2015,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),66.0
2016,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),66.0
2017,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),68.0
2018,Persons (10 years and older) with computer-related activities in the last 12 months: transferring files between a computer or other devices (%),
2010,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),
2011,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),
2012,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),
2013,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),
2014,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),
2015,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),7.0
2016,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),6.0
2017,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),6.0
2018,Persons (10 years and older) with computer-related activities in the last 12 months: writing a computer program using a programming language (%),
