Year,Units,Value
2010,annual growth rate of real gdp per capita (%),4.3
2011,annual growth rate of real gdp per capita (%),3.7
2012,annual growth rate of real gdp per capita (%),0.3
2013,annual growth rate of real gdp per capita (%),0.2
2014,annual growth rate of real gdp per capita (%),1.8
2015,annual growth rate of real gdp per capita (%),0.9
2016,annual growth rate of real gdp per capita (%),1.4
2017,annual growth rate of real gdp per capita (%),1.8
2018,annual growth rate of real gdp per capita (%),1.1
