Year,Units,Value
2010,unemployment rate (15 to under 75 years) (%),7.0
2011,unemployment rate (15 to under 75 years) (%),5.8
2012,unemployment rate (15 to under 75 years) (%),5.4
2013,unemployment rate (15 to under 75 years) (%),5.2
2014,unemployment rate (15 to under 75 years) (%),5.0
2015,unemployment rate (15 to under 75 years) (%),4.6
2016,unemployment rate (15 to under 75 years) (%),4.1
2017,unemployment rate (15 to under 75 years) (%),3.8
2018,unemployment rate (15 to under 75 years) (%),3.4
