Year,Units,Value
2010,share of tourism industries to total value added (%),4.4
2011,share of tourism industries to total value added (%),
2012,share of tourism industries to total value added (%),
2013,share of tourism industries to total value added (%),
2014,share of tourism industries to total value added (%),
2015,share of tourism industries to total value added (%),3.9
2016,share of tourism industries to total value added (%),
2017,share of tourism industries to total value added (%),
2018,share of tourism industries to total value added (%),
