Year,Units,Value
2010,diarrhoea,5.5
2011,diarrhoea,8.3
2012,diarrhoea,9.9
2013,diarrhoea,10.5
2014,diarrhoea,9.6
2015,diarrhoea,10.4
2016,diarrhoea,
2017,diarrhoea,
2018,diarrhoea,
2010,intestinal nematode infections,0.0
2011,intestinal nematode infections,0.0
2012,intestinal nematode infections,0.0
2013,intestinal nematode infections,0.0
2014,intestinal nematode infections,0.0
2015,intestinal nematode infections,0.0
2016,intestinal nematode infections,
2017,intestinal nematode infections,
2018,intestinal nematode infections,
2010,protein-energy malnutrition,0.3
2011,protein-energy malnutrition,0.3
2012,protein-energy malnutrition,0.3
2013,protein-energy malnutrition,0.3
2014,protein-energy malnutrition,0.3
2015,protein-energy malnutrition,0.5
2016,protein-energy malnutrition,
2017,protein-energy malnutrition,
2018,protein-energy malnutrition,
