Year,Units,Value
2010,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",2346.8
2011,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",2179.1
2012,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",1765.7
2013,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",2381.2
2014,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",3336.5
2015,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",4222.9
2016,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",3653.7
2017,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",3320.2
2018,"ODA (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",
2010,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",2814.1
2011,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",2543.2
2012,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",2296.0
2013,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",2725.0
2014,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",3715.0
2015,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",4334.6
2016,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",3869.0
2017,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",3573.8
2018,"ODA and OOF (gross disbursements) to infrastructure (Mn USD, constant prices (2016))",
