Year,Units,Value
2010,water bodies with good quality (%),
2011,water bodies with good quality (%),
2012,water bodies with good quality (%),
2013,water bodies with good quality (%),
2014,water bodies with good quality (%),38.99
2015,water bodies with good quality (%),
2016,water bodies with good quality (%),
2017,water bodies with good quality (%),
2018,water bodies with good quality (%),
