Year,Units,Value
2010,Forest area (%),30.9
2011,Forest area (%),31.2
2012,Forest area (%),31.2
2013,Forest area (%),31.3
2014,Forest area (%),31.3
2015,Forest area (%),31.4
2016,Forest area (%),31.4
2017,Forest area (%),31.6
2018,Forest area (%),
