Year,Units,Value
2010,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",246.8
2011,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",298.5
2012,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",258.8
2013,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",363.2
2014,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",306.9
2015,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",543.5
2016,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",573.7
2017,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",620.4
2018,"ODA (gross disbursements) to the agriculture sector (Mn USD, constant prices (2016))",
