Year,Units,Value
2010,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",
2011,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",74.0
2012,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",
2013,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",75.0
2014,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",
2015,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",77.0
2016,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",
2017,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",77.0
2018,"local livestock breeds (horses, cows, pigs, sheep and goats) (number)",
