Year,Units,Value
2010,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",322.6
2011,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",302.8
2012,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",302.9
2013,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",307.9
2014,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",287.3
2015,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",283.5
2016,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",279.3
2017,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",272.1
2018,"CO2 emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",
2010,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),254.2
2011,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),237.5
2012,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),234.0
2013,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),233.6
2014,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),219.3
2015,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),212.7
2016,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),
2017,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),
2018,CO2 emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),
