Year,Units,Value
2010,fatalities due to road traffic accidents (per 100 000 inhabitants),4.5
2011,fatalities due to road traffic accidents (per 100 000 inhabitants),5.0
2012,fatalities due to road traffic accidents (per 100 000 inhabitants),4.5
2013,fatalities due to road traffic accidents (per 100 000 inhabitants),4.1
2014,fatalities due to road traffic accidents (per 100 000 inhabitants),4.2
2015,fatalities due to road traffic accidents (per 100 000 inhabitants),4.2
2016,fatalities due to road traffic accidents (per 100 000 inhabitants),3.9
2017,fatalities due to road traffic accidents (per 100 000 inhabitants),3.9
2018,fatalities due to road traffic accidents (per 100 000 inhabitants),3.9
