Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,3.6
2011,,,,2.6
2012,,,,-0.7
2013,,,,-0.3
2014,,,,1.3
2015,r,,,0.9
2016,r,,,1.0
2017,r,,,1.5
2018,r,,,-0.1
2019,r,,,0.2
2020,r,,,-3.3
2021,r,,,3.8
2022,,,,0.6
2023,p,,,-1.6
2024,p,,,-1.0
2025,p,,,0.4
