Year,Time series,Sex,Value
2003-2006,Overweight,,4.1
2014-2017,Overweight,,3.2
2003-2006,Overweight,Male,3.3
2014-2017,Overweight,Male,0.7
2003-2006,Overweight,Female,4.9
2014-2017,Overweight,Female,5.9
2003-2006,Wasting,,1.4
2014-2017,Wasting,,0.3
2003-2006,Wasting,Male,1.3
2014-2017,Wasting,Male,0.7
2003-2006,Wasting,Female,1.4
