Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,5.43
2011,r,,,5.35
2012,r,,,5.24
2013,,,,5.38
2014,r,,,5.58
2015,,,,7.15
2016,,,,7.25
2017,r,,,6.76
2018,r,,,6.65
2019,r,,,5.81
2020,,,,5.04
2021,r,,,4.73
2022,r,,,4.76
2023,r,,,5.32
2024,p,,,5.19
