Year,timeseries,Value
2010,organisations with emas registration (number),1332
2011,organisations with emas registration (number),1269
2012,organisations with emas registration (number),1212
2013,organisations with emas registration (number),1228
2014,organisations with emas registration (number),1223
2015,organisations with emas registration (number),1216
2016,organisations with emas registration (number),1225
2017,organisations with emas registration (number),1240
2018,organisations with emas registration (number),1183
