Year,timeseries,Value
2010,"federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)",306.3
2011,"federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)",312.1
2012,"federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)",336.9
2013,"federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)",391.4
2014,"federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)",406.8
2015,"federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)",404.4
2016,"federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)",447.8
2017,"federal budget on research and development in the field of coastal, ocean and polar science, geoscience (mn eur)",474.7
