Year,Units,timeseries,Value
2010,"mn usd, constant prices (2016)",aid for trade commitments (oda and oof),4218.3
2011,"mn usd, constant prices (2016)",aid for trade commitments (oda and oof),3409.1
2012,"mn usd, constant prices (2016)",aid for trade commitments (oda and oof),3369.6
2013,"mn usd, constant prices (2016)",aid for trade commitments (oda and oof),4459.6
2014,"mn usd, constant prices (2016)",aid for trade commitments (oda and oof),6709.1
2015,"mn usd, constant prices (2016)",aid for trade commitments (oda and oof),5788.5
2016,"mn usd, constant prices (2016)",aid for trade commitments (oda and oof),6042.9
2017,"mn usd, constant prices (2016)",aid for trade commitments (oda and oof),5503.4
2010,"mn usd, constant prices (2016)",aid for trade gross disbursements (oda and oof),3088.3
2011,"mn usd, constant prices (2016)",aid for trade gross disbursements (oda and oof),2835.5
2012,"mn usd, constant prices (2016)",aid for trade gross disbursements (oda and oof),2553.2
2013,"mn usd, constant prices (2016)",aid for trade gross disbursements (oda and oof),3197.4
2014,"mn usd, constant prices (2016)",aid for trade gross disbursements (oda and oof),4006.6
2015,"mn usd, constant prices (2016)",aid for trade gross disbursements (oda and oof),5161.9
2016,"mn usd, constant prices (2016)",aid for trade gross disbursements (oda and oof),4621.2
2017,"mn usd, constant prices (2016)",aid for trade gross disbursements (oda and oof),4369.0
