Year,Units,timeseries,Value
2010,eur,export refunds,29872803
2011,eur,export refunds,18944934
2012,eur,export refunds,5781374
2013,eur,export refunds,1396385
2014,eur,export refunds,533798
2015,eur,export refunds,50637
2016,eur,export refunds,30454
2017,eur,export refunds,26662
2018,eur,export refunds,44145
