Year,Units,Value
2010,Annual growth rate of real GDP per employed person (%),3.8
2011,Annual growth rate of real GDP per employed person (%),2.3
2012,Annual growth rate of real GDP per employed person (%),-0.7
2013,Annual growth rate of real GDP per employed person (%),-0.1
2014,Annual growth rate of real GDP per employed person (%),1.1
2015,Annual growth rate of real GDP per employed person (%),0.8
2016,Annual growth rate of real GDP per employed person (%),0.6
2017,Annual growth rate of real GDP per employed person (%),0.8
2018,Annual growth rate of real GDP per employed person (%),
