Year,Units,timeseries,Value
2010,mn t,rmc (abiotic and biotic material),1292.0
2011,mn t,rmc (abiotic and biotic material),1377.0
2012,mn t,rmc (abiotic and biotic material),1258.0
2013,mn t,rmc (abiotic and biotic material),1274.0
2014,mn t,rmc (abiotic and biotic material),1303.0
2010,t per capita,rmc per capita,15.8
2011,t per capita,rmc per capita,17.1
2012,t per capita,rmc per capita,15.6
2013,t per capita,rmc per capita,15.8
2014,t per capita,rmc per capita,16.0
2010,2010 = 100,rmc per real gdp,100.0
2011,2010 = 100,rmc per real gdp,102.8
2012,2010 = 100,rmc per real gdp,93.5
2013,2010 = 100,rmc per real gdp,94.2
2014,2010 = 100,rmc per real gdp,94.3
