Year,timeseries,Value
2014,victims of female genital mutilation (number),0.0
2015,victims of female genital mutilation (number),0.0
2016,victims of female genital mutilation (number),0.0
2017,victims of female genital mutilation (number),0.0
2018,victims of female genital mutilation (number),5.0
