Year,timeseries,Value
2010,forest area (%),30.9
2011,forest area (%),30.9
2012,forest area (%),31.0
2013,forest area (%),31.3
2014,forest area (%),31.3
2015,forest area (%),31.4
2016,forest area (%),30.4
2017,forest area (%),30.4
