Year,Units,Value
2010,protected marine area  (%),
2011,protected marine area  (%),45.0
2012,protected marine area  (%),45.0
2013,protected marine area  (%),45.0
2014,protected marine area  (%),45.0
2015,protected marine area  (%),45.0
2016,protected marine area  (%),45.0
2017,protected marine area  (%),45.0
2018,protected marine area  (%),45.0
2010,marine key biodiversity areas (kbas) covered by protected areas (%),
2011,marine key biodiversity areas (kbas) covered by protected areas (%),89.0
2012,marine key biodiversity areas (kbas) covered by protected areas (%),89.0
2013,marine key biodiversity areas (kbas) covered by protected areas (%),89.0
2014,marine key biodiversity areas (kbas) covered by protected areas (%),89.0
2015,marine key biodiversity areas (kbas) covered by protected areas (%),89.0
2016,marine key biodiversity areas (kbas) covered by protected areas (%),89.0
2017,marine key biodiversity areas (kbas) covered by protected areas (%),89.0
2018,marine key biodiversity areas (kbas) covered by protected areas (%),89.0
