Year,Units,Value
2010,Protected terrestrial areas (%),
2011,Protected terrestrial areas (%),
2012,Protected terrestrial areas (%),
2013,Protected terrestrial areas (%),
2014,Protected terrestrial areas (%),
2015,Protected terrestrial areas (%),
2016,Protected terrestrial areas (%),
2017,Protected terrestrial areas (%),
2018,Protected terrestrial areas (%),50.0
2010,Key Biodiversity Areas (KBAs) covered by protected areas (%),
2011,Key Biodiversity Areas (KBAs) covered by protected areas (%),
2012,Key Biodiversity Areas (KBAs) covered by protected areas (%),
2013,Key Biodiversity Areas (KBAs) covered by protected areas (%),
2014,Key Biodiversity Areas (KBAs) covered by protected areas (%),
2015,Key Biodiversity Areas (KBAs) covered by protected areas (%),
2016,Key Biodiversity Areas (KBAs) covered by protected areas (%),
2017,Key Biodiversity Areas (KBAs) covered by protected areas (%),
2018,Key Biodiversity Areas (KBAs) covered by protected areas (%),79.0
