Year,timeseries,Value
2010,population weighted annual mean levels of pm10 (micrograms per cubic meter),19.6
2011,population weighted annual mean levels of pm10 (micrograms per cubic meter),19.5
2012,population weighted annual mean levels of pm10 (micrograms per cubic meter),17.0
2013,population weighted annual mean levels of pm10 (micrograms per cubic meter),17.6
2014,population weighted annual mean levels of pm10 (micrograms per cubic meter),17.1
2015,population weighted annual mean levels of pm10 (micrograms per cubic meter),15.9
2016,population weighted annual mean levels of pm10 (micrograms per cubic meter),15.4
2017,population weighted annual mean levels of pm10 (micrograms per cubic meter),15.3
