Year,Units,Value
2010,manufacturing persons employed (%),17.4
2011,manufacturing persons employed (%),17.5
2012,manufacturing persons employed (%),17.6
2013,manufacturing persons employed (%),17.6
2014,manufacturing persons employed (%),17.5
2015,manufacturing persons employed (%),17.4
2016,manufacturing persons employed (%),17.3
2017,manufacturing persons employed (%),17.2
2018,manufacturing persons employed (%),17.3
