Year,timeseries,Value
2010,average ph-concentration in the german bight (ph-value),8.126
2011,average ph-concentration in the german bight (ph-value),8.138
2012,average ph-concentration in the german bight (ph-value),8.113999999999999
2013,average ph-concentration in the german bight (ph-value),8.127
2014,average ph-concentration in the german bight (ph-value),8.131
2015,average ph-concentration in the german bight (ph-value),8.113999999999999
2017,average ph-concentration in the german bight (ph-value),8.149
