Year,Units,timeseries,Value
2010,number,national sustainable development strategie,1
2011,number,national sustainable development strategie,1
2012,number,national sustainable development strategie,1
2013,number,national sustainable development strategie,1
2014,number,national sustainable development strategie,1
2015,number,national sustainable development strategie,1
2016,number,national sustainable development strategie,1
2017,number,national sustainable development strategie,1
2018,number,national sustainable development strategie,1
