Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,.,,,
2014,.,,,
2015,r,,,29.75
2016,.,,,
2017,.,,,
2018,r,,,29.73
2019,.,,,
2020,.,,,
2021,r,,,29.28
2022,.,,,
2023,.,,,
2024,,,,29.36
