Year,COMMENT_OBS_0,Value
2010,.,
2011,.,
2012,.,
2013,.,
2014,,21.0
2015,.,
2016,.,
2017,.,
2018,,23.0
2019,.,
2020,.,
2021,.,
2022,,25.0
2023,,26.0
