Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,.,,,
2014,.,,,
2015,.,,,
2016,.,,,
2017,.,,,
2018,.,,,
2019,.,,,
2020,.,,,
2021,r,,,416.0
2022,r,,,563.0
2023,r,,,586.0
2024,p,,,371.0
