Year,Art der Gewalt,Geschlecht,Altersklasse,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2013,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2014,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2015,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2016,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2017,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2018,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2019,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2020,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,,,40.3
2021,a) Physische Gewalt,,35 bis unter 45 Jahre,,,…,,,
2022,a) Physische Gewalt,,35 bis unter 45 Jahre,,,…,,,
2023,a) Physische Gewalt,,35 bis unter 45 Jahre,,,…,,,
2024,a) Physische Gewalt,,35 bis unter 45 Jahre,,,…,,,
2010,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2011,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2012,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2013,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2014,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2015,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2016,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2017,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2018,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2019,a) Physische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2020,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,,,37.6
2021,a) Physische Gewalt,,45 bis unter 55 Jahre,,,…,,,
2022,a) Physische Gewalt,,45 bis unter 55 Jahre,,,…,,,
2023,a) Physische Gewalt,,45 bis unter 55 Jahre,,,…,,,
2024,a) Physische Gewalt,,45 bis unter 55 Jahre,,,…,,,
2010,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2011,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2012,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2013,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2014,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2015,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2016,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2017,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2018,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2019,a) Physische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2020,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,,,32.2
2021,a) Physische Gewalt,,55 bis unter 65 Jahre,,,…,,,
2022,a) Physische Gewalt,,55 bis unter 65 Jahre,,,…,,,
2023,a) Physische Gewalt,,55 bis unter 65 Jahre,,,…,,,
2024,a) Physische Gewalt,,55 bis unter 65 Jahre,,,…,,,
2010,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2011,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2012,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2013,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2014,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2015,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2016,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2017,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2018,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2019,a) Physische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2020,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,,,81.8
2021,a) Physische Gewalt,,65 bis unter 75 Jahre,,,…,,,
2022,a) Physische Gewalt,,65 bis unter 75 Jahre,,,…,,,
2023,a) Physische Gewalt,,65 bis unter 75 Jahre,,,…,,,
2024,a) Physische Gewalt,,65 bis unter 75 Jahre,,,…,,,
2010,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2011,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2012,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2013,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2014,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2015,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2016,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2017,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2018,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2019,a) Physische Gewalt,,75 Jahre und älter,,,.,,,
2020,a) Physische Gewalt,,75 Jahre und älter,,,,,,52.7
2021,a) Physische Gewalt,,75 Jahre und älter,,,…,,,
2022,a) Physische Gewalt,,75 Jahre und älter,,,…,,,
2023,a) Physische Gewalt,,75 Jahre und älter,,,…,,,
2024,a) Physische Gewalt,,75 Jahre und älter,,,…,,,
2010,a) Physische Gewalt,,,Körperverletzung,,.,,,
2011,a) Physische Gewalt,,,Körperverletzung,,.,,,
2012,a) Physische Gewalt,,,Körperverletzung,,,,,32.9
2013,a) Physische Gewalt,,,Körperverletzung,,.,,,
2014,a) Physische Gewalt,,,Körperverletzung,,.,,,
2015,a) Physische Gewalt,,,Körperverletzung,,.,,,
2016,a) Physische Gewalt,,,Körperverletzung,,.,,,
2017,a) Physische Gewalt,,,Körperverletzung,,,,,36.6
2018,a) Physische Gewalt,,,Körperverletzung,,.,,,
2019,a) Physische Gewalt,,,Körperverletzung,,.,,,
2020,a) Physische Gewalt,,,Körperverletzung,,|,,,33.5
2021,a) Physische Gewalt,,,Körperverletzung,,.,,,
2022,a) Physische Gewalt,,,Körperverletzung,,.,,,
2023,a) Physische Gewalt,,,Körperverletzung,,.,,,
2024,a) Physische Gewalt,,,Körperverletzung,,,,,29.1
2010,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2011,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2012,a) Physische Gewalt,Weiblich,,Körperverletzung,,,,,34.1
2013,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2014,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2015,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2016,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2017,a) Physische Gewalt,Weiblich,,Körperverletzung,,,,,40.0
2018,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2019,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2020,a) Physische Gewalt,Weiblich,,Körperverletzung,,|,,,21.3
2021,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2022,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2023,a) Physische Gewalt,Weiblich,,Körperverletzung,,.,,,
2024,a) Physische Gewalt,Weiblich,,Körperverletzung,,…,,,38.9
2010,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2011,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2012,a) Physische Gewalt,Männlich,,Körperverletzung,,,,,32.3
2013,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2014,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2015,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2016,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2017,a) Physische Gewalt,Männlich,,Körperverletzung,,,,,34.6
2018,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2019,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2020,a) Physische Gewalt,Männlich,,Körperverletzung,,|,,,40.3
2021,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2022,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2023,a) Physische Gewalt,Männlich,,Körperverletzung,,.,,,
2024,a) Physische Gewalt,Männlich,,Körperverletzung,,,,,31.5
2010,a) Physische Gewalt,,,Raub,,.,,,
2011,a) Physische Gewalt,,,Raub,,.,,,
2012,a) Physische Gewalt,,,Raub,,,,,33.6
2013,a) Physische Gewalt,,,Raub,,.,,,
2014,a) Physische Gewalt,,,Raub,,.,,,
2015,a) Physische Gewalt,,,Raub,,.,,,
2016,a) Physische Gewalt,,,Raub,,.,,,
2017,a) Physische Gewalt,,,Raub,,,,,32.0
2018,a) Physische Gewalt,,,Raub,,.,,,
2019,a) Physische Gewalt,,,Raub,,.,,,
2020,a) Physische Gewalt,,,Raub,,|,,,24.0
2021,a) Physische Gewalt,,,Raub,,.,,,
2022,a) Physische Gewalt,,,Raub,,.,,,
2023,a) Physische Gewalt,,,Raub,,.,,,
2024,a) Physische Gewalt,,,Raub,,,,,40.3
2010,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2011,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2012,a) Physische Gewalt,Weiblich,,Raub,,,,,42.8
2013,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2014,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2015,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2016,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2017,a) Physische Gewalt,Weiblich,,Raub,,,,,38.8
2018,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2019,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2020,a) Physische Gewalt,Weiblich,,Raub,,|,,,13.1
2021,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2022,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2023,a) Physische Gewalt,Weiblich,,Raub,,.,,,
2024,a) Physische Gewalt,Weiblich,,Raub,,,,,26.4
2010,a) Physische Gewalt,Männlich,,Raub,,.,,,
2011,a) Physische Gewalt,Männlich,,Raub,,.,,,
2012,a) Physische Gewalt,Männlich,,Raub,,,,,28.3
2013,a) Physische Gewalt,Männlich,,Raub,,.,,,
2014,a) Physische Gewalt,Männlich,,Raub,,.,,,
2015,a) Physische Gewalt,Männlich,,Raub,,.,,,
2016,a) Physische Gewalt,Männlich,,Raub,,.,,,
2017,a) Physische Gewalt,Männlich,,Raub,,,,,27.3
2018,a) Physische Gewalt,Männlich,,Raub,,.,,,
2019,a) Physische Gewalt,Männlich,,Raub,,.,,,
2020,a) Physische Gewalt,Männlich,,Raub,,|,,,37.2
2021,a) Physische Gewalt,Männlich,,Raub,,.,,,
2022,a) Physische Gewalt,Männlich,,Raub,,.,,,
2023,a) Physische Gewalt,Männlich,,Raub,,.,,,
2024,a) Physische Gewalt,Männlich,,Raub,,,,,51.3
2010,b) Psychische Gewalt,,,,,.,,,
2011,b) Psychische Gewalt,,,,,.,,,
2012,b) Psychische Gewalt,,,,,.,,,
2013,b) Psychische Gewalt,,,,,.,,,
2014,b) Psychische Gewalt,,,,,.,,,
2015,b) Psychische Gewalt,,,,,.,,,
2016,b) Psychische Gewalt,,,,,.,,,
2017,b) Psychische Gewalt,,,,,.,,,
2018,b) Psychische Gewalt,,,,,.,,,
2019,b) Psychische Gewalt,,,,,.,,,
2020,b) Psychische Gewalt,,,,,,,,3.6
2021,b) Psychische Gewalt,,,,,…,,,
2022,b) Psychische Gewalt,,,,,…,,,
2023,b) Psychische Gewalt,,,,,…,,,
2024,b) Psychische Gewalt,,,,,…,,,
2010,b) Psychische Gewalt,Weiblich,,,,.,,,
2011,b) Psychische Gewalt,Weiblich,,,,.,,,
2012,b) Psychische Gewalt,Weiblich,,,,.,,,
2013,b) Psychische Gewalt,Weiblich,,,,.,,,
2014,b) Psychische Gewalt,Weiblich,,,,.,,,
2015,b) Psychische Gewalt,Weiblich,,,,.,,,
2016,b) Psychische Gewalt,Weiblich,,,,.,,,
2017,b) Psychische Gewalt,Weiblich,,,,.,,,
2018,b) Psychische Gewalt,Weiblich,,,,.,,,
2019,b) Psychische Gewalt,Weiblich,,,,.,,,
2020,b) Psychische Gewalt,Weiblich,,,,,,,5.2
2021,b) Psychische Gewalt,Weiblich,,,,…,,,
2022,b) Psychische Gewalt,Weiblich,,,,…,,,
2023,b) Psychische Gewalt,Weiblich,,,,…,,,
2024,b) Psychische Gewalt,Weiblich,,,,…,,,
2010,b) Psychische Gewalt,Männlich,,,,.,,,
2011,b) Psychische Gewalt,Männlich,,,,.,,,
2012,b) Psychische Gewalt,Männlich,,,,.,,,
2013,b) Psychische Gewalt,Männlich,,,,.,,,
2014,b) Psychische Gewalt,Männlich,,,,.,,,
2015,b) Psychische Gewalt,Männlich,,,,.,,,
2016,b) Psychische Gewalt,Männlich,,,,.,,,
2017,b) Psychische Gewalt,Männlich,,,,.,,,
2018,b) Psychische Gewalt,Männlich,,,,.,,,
2019,b) Psychische Gewalt,Männlich,,,,.,,,
2020,b) Psychische Gewalt,Männlich,,,,,,,2.8
2021,b) Psychische Gewalt,Männlich,,,,…,,,
2022,b) Psychische Gewalt,Männlich,,,,…,,,
2023,b) Psychische Gewalt,Männlich,,,,…,,,
2024,b) Psychische Gewalt,Männlich,,,,…,,,
2010,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2011,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2012,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2013,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2014,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2015,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2016,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2017,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2018,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2019,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2020,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,,,1.9
2021,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,…,,,
2022,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,…,,,
2023,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,…,,,
2024,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,…,,,
2010,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2011,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2012,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2013,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2014,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2015,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2016,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2017,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2018,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2019,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2020,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,,,3.6
2021,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,…,,,
2022,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,…,,,
2023,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,…,,,
2024,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,…,,,
2010,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2011,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2012,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2013,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2014,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2015,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2016,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2017,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2018,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2019,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2020,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,,,1.3
2021,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,…,,,
2022,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,…,,,
2023,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,…,,,
2024,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,…,,,
2010,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2011,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2012,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2013,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2014,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2015,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2016,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2017,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2018,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2019,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,.,,,
2020,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,,,5.6
2021,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,…,,,
2022,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,…,,,
2023,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,…,,,
2024,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,…,,,
2010,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2011,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2012,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2013,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2014,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2015,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2016,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2017,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2018,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2019,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,.,,,
2020,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,,,4.6
2021,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,…,,,
2022,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,…,,,
2023,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,…,,,
2024,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,…,,,
2010,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2011,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2012,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2013,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2014,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2015,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2016,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2017,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2018,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2019,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,.,,,
2020,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,,,26.0
2021,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,…,,,
2022,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,…,,,
2023,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,…,,,
2024,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,…,,,
2010,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2011,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2012,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2013,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2014,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2015,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2016,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2017,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2018,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2019,b) Psychische Gewalt,,75 Jahre und älter,,,.,,,
2020,b) Psychische Gewalt,,75 Jahre und älter,,,,,,59.0
2021,b) Psychische Gewalt,,75 Jahre und älter,,,…,,,
2022,b) Psychische Gewalt,,75 Jahre und älter,,,…,,,
2023,b) Psychische Gewalt,,75 Jahre und älter,,,…,,,
2024,b) Psychische Gewalt,,75 Jahre und älter,,,…,,,
2010,c) Sexuelle Gewalt,,,,,.,,,
2011,c) Sexuelle Gewalt,,,,,.,,,
2012,c) Sexuelle Gewalt,,,,,.,,,
2013,c) Sexuelle Gewalt,,,,,.,,,
2014,c) Sexuelle Gewalt,,,,,.,,,
2015,c) Sexuelle Gewalt,,,,,.,,,
2016,c) Sexuelle Gewalt,,,,,.,,,
2017,c) Sexuelle Gewalt,,,,,.,,,
2018,c) Sexuelle Gewalt,,,,,.,,,
2019,c) Sexuelle Gewalt,,,,,.,,,
2020,c) Sexuelle Gewalt,,,,,,,,2.4
2021,c) Sexuelle Gewalt,,,,,…,,,
2022,c) Sexuelle Gewalt,,,,,…,,,
2023,c) Sexuelle Gewalt,,,,,…,,,
2024,c) Sexuelle Gewalt,,,,,…,,,
2010,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2011,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2012,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2013,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2014,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2015,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2016,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2017,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2018,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2019,c) Sexuelle Gewalt,Weiblich,,,,.,,,
2020,c) Sexuelle Gewalt,Weiblich,,,,,,,2.1
2021,c) Sexuelle Gewalt,Weiblich,,,,…,,,
2022,c) Sexuelle Gewalt,Weiblich,,,,…,,,
2023,c) Sexuelle Gewalt,Weiblich,,,,…,,,
2024,c) Sexuelle Gewalt,Weiblich,,,,…,,,
2010,c) Sexuelle Gewalt,Männlich,,,,.,,,
2011,c) Sexuelle Gewalt,Männlich,,,,.,,,
2012,c) Sexuelle Gewalt,Männlich,,,,.,,,
2013,c) Sexuelle Gewalt,Männlich,,,,.,,,
