Year,Art der Gewalt,Geschlecht,Altersklasse,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) Physische Gewalt,,,,,.,,,
2011,a) Physische Gewalt,,,,,.,,,
2012,a) Physische Gewalt,,,,,.,,,
2013,a) Physische Gewalt,,,,,.,,,
2014,a) Physische Gewalt,,,,,.,,,
2015,a) Physische Gewalt,,,,,.,,,
2016,a) Physische Gewalt,,,,,.,,,
2017,a) Physische Gewalt,,,,,.,,,
2018,a) Physische Gewalt,,,,,.,,,
2019,a) Physische Gewalt,,,,,.,,,
2020,a) Physische Gewalt,,,,,,,,31.3
2021,a) Physische Gewalt,,,,,…,,,
2022,a) Physische Gewalt,,,,,…,,,
2023,a) Physische Gewalt,,,,,…,,,
2024,a) Physische Gewalt,,,,,…,,,
2010,a) Physische Gewalt,Weiblich,,,,.,,,
2011,a) Physische Gewalt,Weiblich,,,,.,,,
2012,a) Physische Gewalt,Weiblich,,,,.,,,
2013,a) Physische Gewalt,Weiblich,,,,.,,,
2014,a) Physische Gewalt,Weiblich,,,,.,,,
2015,a) Physische Gewalt,Weiblich,,,,.,,,
2016,a) Physische Gewalt,Weiblich,,,,.,,,
2017,a) Physische Gewalt,Weiblich,,,,.,,,
2018,a) Physische Gewalt,Weiblich,,,,.,,,
2019,a) Physische Gewalt,Weiblich,,,,.,,,
2020,a) Physische Gewalt,Weiblich,,,,,,,18.6
2021,a) Physische Gewalt,Weiblich,,,,…,,,
2022,a) Physische Gewalt,Weiblich,,,,…,,,
2023,a) Physische Gewalt,Weiblich,,,,…,,,
2024,a) Physische Gewalt,Weiblich,,,,…,,,
2010,a) Physische Gewalt,Männlich,,,,.,,,
2011,a) Physische Gewalt,Männlich,,,,.,,,
2012,a) Physische Gewalt,Männlich,,,,.,,,
2013,a) Physische Gewalt,Männlich,,,,.,,,
2014,a) Physische Gewalt,Männlich,,,,.,,,
2015,a) Physische Gewalt,Männlich,,,,.,,,
2016,a) Physische Gewalt,Männlich,,,,.,,,
2017,a) Physische Gewalt,Männlich,,,,.,,,
2018,a) Physische Gewalt,Männlich,,,,.,,,
2019,a) Physische Gewalt,Männlich,,,,.,,,
2020,a) Physische Gewalt,Männlich,,,,,,,39.7
2021,a) Physische Gewalt,Männlich,,,,…,,,
2022,a) Physische Gewalt,Männlich,,,,…,,,
2023,a) Physische Gewalt,Männlich,,,,…,,,
2024,a) Physische Gewalt,Männlich,,,,…,,,
2010,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2011,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2012,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2013,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2014,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2015,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2016,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2017,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2018,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2019,a) Physische Gewalt,,16 bis unter 25 Jahre,,,.,,,
2020,a) Physische Gewalt,,16 bis unter 25 Jahre,,,,,,19.5
2021,a) Physische Gewalt,,16 bis unter 25 Jahre,,,…,,,
2022,a) Physische Gewalt,,16 bis unter 25 Jahre,,,…,,,
2023,a) Physische Gewalt,,16 bis unter 25 Jahre,,,…,,,
2024,a) Physische Gewalt,,16 bis unter 25 Jahre,,,…,,,
2010,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2011,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2012,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2013,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2014,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2015,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2016,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2017,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2018,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2019,a) Physische Gewalt,,25 bis unter 35 Jahre,,,.,,,
2020,a) Physische Gewalt,,25 bis unter 35 Jahre,,,,,,33.0
2021,a) Physische Gewalt,,25 bis unter 35 Jahre,,,…,,,
2022,a) Physische Gewalt,,25 bis unter 35 Jahre,,,…,,,
2023,a) Physische Gewalt,,25 bis unter 35 Jahre,,,…,,,
2024,a) Physische Gewalt,,25 bis unter 35 Jahre,,,…,,,
2010,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
2011,a) Physische Gewalt,,35 bis unter 45 Jahre,,,.,,,
