Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2025,number,non-sexual harassment,13 years and younger,female,,,,425.0
2010,number,non-sexual harassment,13 years and younger,male,,,,171.0
2011,number,non-sexual harassment,13 years and younger,male,,,,153.0
2012,number,non-sexual harassment,13 years and younger,male,,,,122.0
2013,number,non-sexual harassment,13 years and younger,male,,,,154.0
2014,number,non-sexual harassment,13 years and younger,male,,,,117.0
2015,number,non-sexual harassment,13 years and younger,male,,,,122.0
2016,number,non-sexual harassment,13 years and younger,male,,,,115.0
2017,number,non-sexual harassment,13 years and younger,male,,,,126.0
2018,number,non-sexual harassment,13 years and younger,male,,,,107.0
2019,number,non-sexual harassment,13 years and younger,male,,,,157.0
2020,number,non-sexual harassment,13 years and younger,male,,,,154.0
2021,number,non-sexual harassment,13 years and younger,male,,,,140.0
2022,number,non-sexual harassment,13 years and younger,male,,,,147.0
2023,number,non-sexual harassment,13 years and younger,male,,,,226.0
2024,number,non-sexual harassment,13 years and younger,male,,,,277.0
2025,number,non-sexual harassment,13 years and younger,male,,,,294.0
2010,number,non-sexual harassment,14 to under 18 years,,,,,1289.0
2011,number,non-sexual harassment,14 to under 18 years,,,,,1227.0
2012,number,non-sexual harassment,14 to under 18 years,,,,,1101.0
2013,number,non-sexual harassment,14 to under 18 years,,,,,1143.0
2014,number,non-sexual harassment,14 to under 18 years,,,,,1063.0
2015,number,non-sexual harassment,14 to under 18 years,,,,,817.0
2016,number,non-sexual harassment,14 to under 18 years,,,,,806.0
2017,number,non-sexual harassment,14 to under 18 years,,,,,829.0
2018,number,non-sexual harassment,14 to under 18 years,,,,,798.0
2019,number,non-sexual harassment,14 to under 18 years,,,,,821.0
2020,number,non-sexual harassment,14 to under 18 years,,,,,751.0
2021,number,non-sexual harassment,14 to under 18 years,,,,,803.0
2022,number,non-sexual harassment,14 to under 18 years,,,,,822.0
2023,number,non-sexual harassment,14 to under 18 years,,,,,928.0
2024,number,non-sexual harassment,14 to under 18 years,,,,,1019.0
2025,number,non-sexual harassment,14 to under 18 years,,,,,1001.0
2010,number,non-sexual harassment,14 to under 18 years,female,,,,1132.0
2011,number,non-sexual harassment,14 to under 18 years,female,,,,1087.0
2012,number,non-sexual harassment,14 to under 18 years,female,,,,991.0
2013,number,non-sexual harassment,14 to under 18 years,female,,,,1015.0
2014,number,non-sexual harassment,14 to under 18 years,female,,,,943.0
2015,number,non-sexual harassment,14 to under 18 years,female,,,,716.0
2016,number,non-sexual harassment,14 to under 18 years,female,,,,710.0
2017,number,non-sexual harassment,14 to under 18 years,female,,,,718.0
2018,number,non-sexual harassment,14 to under 18 years,female,,,,724.0
2019,number,non-sexual harassment,14 to under 18 years,female,,,,704.0
2020,number,non-sexual harassment,14 to under 18 years,female,,,,624.0
2021,number,non-sexual harassment,14 to under 18 years,female,,,,672.0
2022,number,non-sexual harassment,14 to under 18 years,female,,,,686.0
2023,number,non-sexual harassment,14 to under 18 years,female,,,,786.0
2024,number,non-sexual harassment,14 to under 18 years,female,,,,820.0
2025,number,non-sexual harassment,14 to under 18 years,female,,,,821.0
2010,number,non-sexual harassment,14 to under 18 years,male,,,,157.0
2011,number,non-sexual harassment,14 to under 18 years,male,,,,140.0
2012,number,non-sexual harassment,14 to under 18 years,male,,,,110.0
2013,number,non-sexual harassment,14 to under 18 years,male,,,,128.0
2014,number,non-sexual harassment,14 to under 18 years,male,,,,120.0
2015,number,non-sexual harassment,14 to under 18 years,male,,,,101.0
2016,number,non-sexual harassment,14 to under 18 years,male,,,,96.0
2017,number,non-sexual harassment,14 to under 18 years,male,,,,111.0
2018,number,non-sexual harassment,14 to under 18 years,male,,,,74.0
