Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,r,,,5.33
2011,,,,5.35
2012,,,,5.24
2013,r,,,5.39
2014,r,,,5.6
2015,r,,,7.18
2016,r,,,7.29
2017,r,,,6.81
2018,r,,,6.64
2019,r,,,5.87
2020,r,,,5.11
2021,r,,,4.79
2022,r,,,4.91
2023,r,,,5.36
2024,r,,,5.28
2025,p,,,4.87
