Year,age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2003-2006,15 years,,,,13.2
2003-2006,15.5 years,,,,13.2
2003-2006,16 years,,,,13.2
2003-2006,16.5 years,,,,13.2
2003-2006,17 years,,,,13.2
2003-2006,17.5 years,,,,13.1
