Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,r,,,705
2011,r,,,839
2012,,,,971
2013,r,,,1039
2014,r,,,1116
2015,r,,,1197
2016,r,,,1274
2017,r,,,1370
2018,r,,,1446
2019,r,,,1521
2020,r,,,1605
2021,r,,,1697
2022,r,,,1719
2023,r,,,1923
2024,,,,2147
