Year,Value,Units
2010,5.4,megajoule per eur
2011,4.9,megajoule per eur
2012,4.9,megajoule per eur
2014,4.4,megajoule per eur
2015,4.3,megajoule per eur
2016,4.2,megajoule per eur
2017,4.1,megajoule per eur
2018,3.8,megajoule per eur
2019,3.6,megajoule per eur
2021,3.4,megajoule per eur
2010,132.9,2020 = 100
2012,122.9,2020 = 100
2014,116.4,2020 = 100
2015,115.7,2020 = 100
2018,107.4,2020 = 100
2019,103.3,2020 = 100
2020,100.0,2020 = 100
2021,100.9,2020 = 100
