Year,Value,Series
2010,1,a) national legislation and policy relevant to ias
2011,1,a) national legislation and policy relevant to ias
2012,1,a) national legislation and policy relevant to ias
2013,1,a) national legislation and policy relevant to ias
2014,1,a) national legislation and policy relevant to ias
2015,1,a) national legislation and policy relevant to ias
2016,1,a) national legislation and policy relevant to ias
2017,1,a) national legislation and policy relevant to ias
2018,1,a) national legislation and policy relevant to ias
2019,1,a) national legislation and policy relevant to ias
2020,1,a) national legislation and policy relevant to ias
2021,1,a) national legislation and policy relevant to ias
2022,1,a) national legislation and policy relevant to ias
2023,1,a) national legislation and policy relevant to ias
2010,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2011,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2012,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2013,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2014,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2015,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2016,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2017,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2018,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2019,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2020,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2021,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2022,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2023,1,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
