Year,Value,Units
2014,,million eur
2021,9733.3,million eur
2022,12610.09,million eur
2023,32634.39,million eur
2024,,million eur
2021,0.271,percentage
2022,0.336,percentage
2023,0.825,percentage
2024,,percentage
