Year,Value,Units,Series
2020,10.4,gini coefficient index points,redistributive impact of fiscal policy
2021,14.3,gini coefficient index points,redistributive impact of fiscal policy
2022,17.0,gini coefficient index points,redistributive impact of fiscal policy
2023,16.7,gini coefficient index points,redistributive impact of fiscal policy
2024,18.2,gini coefficient index points,redistributive impact of fiscal policy
