Year,Value,Units,Series
2010,244.0,kilogram per capita,a) hazardous waste generated per capita
2012,273.0,kilogram per capita,a) hazardous waste generated per capita
2014,269.0,kilogram per capita,a) hazardous waste generated per capita
2016,280.0,kilogram per capita,a) hazardous waste generated per capita
2018,292.0,kilogram per capita,a) hazardous waste generated per capita
2020,282.0,kilogram per capita,a) hazardous waste generated per capita
2010,100.0,percentage,b) hazardous waste treated
2012,100.0,percentage,b) hazardous waste treated
2014,100.0,percentage,b) hazardous waste treated
2016,100.0,percentage,b) hazardous waste treated
2018,100.0,percentage,b) hazardous waste treated
2020,100.0,percentage,b) hazardous waste treated
