Year,Value,Units,Series
2010,19.6,micrograms per qubic meters,population weighted annual mean levels of pm10
2011,19.5,micrograms per qubic meters,population weighted annual mean levels of pm10
2012,17.0,micrograms per qubic meters,population weighted annual mean levels of pm10
2013,17.6,micrograms per qubic meters,population weighted annual mean levels of pm10
2014,17.1,micrograms per qubic meters,population weighted annual mean levels of pm10
2015,15.9,micrograms per qubic meters,population weighted annual mean levels of pm10
2016,15.4,micrograms per qubic meters,population weighted annual mean levels of pm10
2017,15.3,micrograms per qubic meters,population weighted annual mean levels of pm10
2018,,micrograms per qubic meters,population weighted annual mean levels of pm10
