Year,Value,Units
2010,0.47,%
2011,0.47,%
2012,0.5,%
2013,0.51,%
2014,0.57,%
2015,0.67,%
2016,1.05,%
2017,1.39,%
2018,1.55,%
2019,1.64,%
2020,1.68,%
2010,382323.0,number
2011,373874.0,number
2012,399051.0,number
2013,410568.0,number
2014,460139.0,number
2015,547934.0,number
2016,867502.0,number
2017,1154363.0,number
2018,1283223.0,number
2019,1360069.0,number
2020,1397686.0,number
