Year,Value,Series
2010,1.1,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2011,1.08,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2012,1.09,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2013,1.1,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2014,1.1,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2015,1.11,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2016,1.12,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2017,1.13,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2018,1.14,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2019,1.14,"proportions of positions of women in the public service compared to the national distribution, by field of work"
2010,0.84,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2011,0.85,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2012,0.87,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2013,0.88,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2014,0.89,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2015,0.93,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2016,0.95,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2017,0.97,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2018,0.98,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
2019,1.0,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court"
