Year,Value,Units
2010,139.9,million eur
2011,93.8,million eur
2012,117.9,million eur
2013,180.2,million eur
2014,198.9,million eur
2015,256.6,million eur
2016,310.9,million eur
2017,380.0,million eur
2018,408.6,million eur
2019,449.8,million eur
2020,1494.2,million eur
2021,1826.5,million eur
2022,2571.7,million eur
2023,549.2,million eur
2024,394.3,million eur
2010,214.7,"million usd, constant prices (2024)"
2011,142.1,"million usd, constant prices (2024)"
2012,176.2,"million usd, constant prices (2024)"
2013,263.9,"million usd, constant prices (2024)"
2014,286.0,"million usd, constant prices (2024)"
2015,362.6,"million usd, constant prices (2024)"
2016,433.8,"million usd, constant prices (2024)"
2017,522.5,"million usd, constant prices (2024)"
2018,551.5,"million usd, constant prices (2024)"
2019,595.1,"million usd, constant prices (2024)"
2020,1942.9,"million usd, constant prices (2024)"
2021,2312.7,"million usd, constant prices (2024)"
2022,3059.9,"million usd, constant prices (2024)"
2023,612.5,"million usd, constant prices (2024)"
2024,426.4,"million usd, constant prices (2024)"
