Year,Value,Series
2010,18.949,water withdrawal
2011,17.509,water withdrawal
2012,15.956,water withdrawal
2013,15.188,water withdrawal
2014,15.214,water withdrawal
2015,14.56,water withdrawal
2016,14.464,water withdrawal
2017,13.374,water withdrawal
2018,13.333,water withdrawal
2019,12.993,water withdrawal
2020,13.225,water withdrawal
2021,12.097,water withdrawal
2022,11.723,water withdrawal
